"","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep1_GSM144733_raw1.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep2_GSM144734_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep3_GSM144735_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep1_GSM144736_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep2_GSM144737_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep3_GSM144738_raw.CEL.gz"
"1383407_at",3.65163003593501,3.72914673747849,4.01418872538906,3.67213024710748,3.47345368432921,3.69778073240542
"1383408_at",6.21856330328058,6.21588561597088,6.19038911498843,6.02066857587265,6.31907180544484,6.08278856584973
"1383409_at",5.09927568069242,5.16952256312628,5.06008332659173,5.14074538432334,5.12742917753241,4.75647369684279
"1383410_at",6.22893290261659,6.07770636560523,6.15818866121173,6.07399753376604,6.22454236378083,6.07491443386462
"1383411_at",3.80744249220692,3.95532395083447,4.32889199966225,3.95149460882571,4.00163461619257,3.87758137894271
"1383412_at",3.83608294177314,3.83055322031053,4.01802693527493,3.75867791791349,3.73499614694943,3.84897115547578
"1383413_at",3.34199451313678,3.63911109161826,3.56551667803318,3.83129263315811,3.78182056545768,3.33119927447417
"1383414_at",7.25994963621249,7.30352111172592,7.24074839893406,7.10946063158153,7.31837440933549,7.25007964829743
"1383415_at",7.01478906438551,6.9476626738791,6.84765216955011,6.87862840430987,6.86646712332282,6.9849191981125
"1383416_at",4.07070083568636,4.16131656508416,4.05896811009947,3.92019871393866,3.91255654223727,3.89378295706129
"1383417_at",5.73121415168778,5.86580832323997,5.78672775820988,5.67593677569937,5.70000103203626,6.00012911643203
"1383418_at",3.96663179691466,4.03316076506074,4.16216794780512,4.07006535317316,3.96303072152918,4.08087087622912
"1383419_at",2.41712173148144,2.52058738651396,2.40783312432101,2.49869397368337,2.31365607644893,2.42258784623658
"1383420_at",3.59701769834356,3.73220114886208,3.55747554938434,3.74853797273719,3.74332239299834,3.79943411277824
"1383421_at",8.42251209489186,8.37767198301876,8.45850108904439,8.38847529484557,8.29357756671425,8.39331303033466
"1383422_at",2.75064894731774,2.79223316598121,2.7182253170517,2.55095133718187,2.73191270878137,2.72110838895521
"1383423_at",6.91111999458021,6.91887668300135,7.03361199412146,7.12736460050446,7.3056808417693,7.1893305804908
"1383424_at",5.35927876535621,5.24080738725226,5.343149785718,5.5277676211217,5.50868542638382,5.12331862085891
"1383425_at",2.86732630556487,2.71636790700725,3.01888725371934,2.80536227793497,2.99268952177527,2.96836027156825
"1383426_at",5.04978255001036,5.0297758591202,5.27216149978832,5.2114434666066,5.05441794449452,4.87467878341852
"1383427_at",7.31246577676709,7.31398578213212,7.24091931832861,7.17081411776383,7.17145103036223,6.93314910620392
"1383428_at",6.43448982941905,6.52025313385985,6.34474839507627,6.49662771944039,6.40747723022755,6.4939660409644
"1383429_at",8.55459043068369,8.37083912654013,8.05760584686591,8.39270921979988,8.31748975479962,8.35370572155229
"1383430_at",6.76697822855509,6.59171434335381,6.59521242091238,6.46483191691375,6.59637844676524,6.58264773276624
"1383431_at",7.49276753842187,7.4378219738487,7.35965168499775,7.61426594096663,7.64311580294927,7.54457231497691
"1383432_at",5.08856431376005,5.0221478839536,5.36873220738589,4.97501037226353,4.93001410919745,4.79298560922876
"1383433_at",6.49503226764925,6.44294820685163,6.37390049404431,6.72958290929007,6.73375327781722,6.69501341745848
"1383434_at",9.66789159669608,9.52232369415688,9.60956890150094,9.49333405476838,9.54033414547114,9.64208498000588
